Timestamp,Temperature (Celsius)
2024-10-16 11:20:22,36.375
2024-10-16 11:20:25,36.4375
2024-10-16 11:20:27,36.5
2024-10-16 11:20:29,36.5625
2024-10-16 11:20:32,36.5625
2024-10-16 11:20:34,36.625
2024-10-16 11:20:37,36.6875
2024-10-16 11:20:39,36.75
2024-10-16 11:20:42,36.75
2024-10-16 11:20:44,36.8125
2024-10-16 11:20:46,36.875
2024-10-16 11:20:49,36.9375
2024-10-16 11:20:51,37.0
2024-10-16 11:20:54,37.0
2024-10-16 11:20:56,37.0625
2024-10-16 11:20:58,37.125
2024-10-16 11:21:01,37.125
2024-10-16 11:21:03,37.1875
2024-10-16 11:21:06,37.1875
2024-10-16 11:21:08,37.25
2024-10-16 11:21:10,37.3125
2024-10-16 11:21:13,37.3125
2024-10-16 11:21:15,37.375
2024-10-16 11:21:18,37.4375
2024-10-16 11:21:20,37.4375
2024-10-16 11:21:23,37.4375
2024-10-16 11:21:25,37.5
2024-10-16 11:21:28,37.5625
2024-10-16 11:21:30,37.5625
2024-10-16 11:21:32,37.625
2024-10-16 11:21:35,37.625
2024-10-16 11:21:37,37.6875
2024-10-16 11:21:39,37.6875
2024-10-16 11:21:42,37.75
2024-10-16 11:21:44,37.75
2024-10-16 11:21:47,37.75
2024-10-16 11:21:49,37.8125
2024-10-16 11:21:51,37.8125
2024-10-16 11:21:54,37.875
2024-10-16 11:21:56,37.875
2024-10-16 11:21:59,37.875
2024-10-16 11:22:01,37.9375
2024-10-16 11:22:04,37.9375
2024-10-16 11:22:06,38.0
2024-10-16 11:22:08,38.0
2024-10-16 11:22:11,38.0625
2024-10-16 11:22:13,38.0
2024-10-16 11:22:15,38.0625
2024-10-16 11:22:17,38.125
2024-10-16 11:22:20,38.125
2024-10-16 11:22:22,38.125
2024-10-16 11:22:24,38.125
2024-10-16 11:22:26,38.1875
2024-10-16 11:22:29,38.1875
2024-10-16 11:22:31,38.1875
2024-10-16 11:22:34,38.25
2024-10-16 11:22:36,38.25
2024-10-16 11:22:38,38.25
2024-10-16 11:22:41,38.25
2024-10-16 11:22:43,38.25
2024-10-16 11:22:46,38.3125
2024-10-16 11:22:48,38.3125
2024-10-16 11:22:50,38.375
2024-10-16 11:22:53,38.375
2024-10-16 11:22:55,38.375
2024-10-16 11:22:58,38.375
2024-10-16 11:23:00,38.4375
2024-10-16 11:23:02,38.4375
2024-10-16 11:23:05,38.4375
2024-10-16 11:23:07,38.4375
2024-10-16 11:23:10,38.5
2024-10-16 11:23:12,38.5
2024-10-16 11:23:14,38.5
2024-10-16 11:23:17,38.5
2024-10-16 11:23:19,38.5
2024-10-16 11:23:22,38.5
2024-10-16 11:23:24,38.5625
2024-10-16 11:23:27,38.5625
2024-10-16 11:23:29,38.5625
2024-10-16 11:23:31,38.5625
2024-10-16 11:23:34,38.625
2024-10-16 11:23:37,38.625
2024-10-16 11:23:39,38.625
2024-10-16 11:23:41,38.625
2024-10-16 11:23:43,38.6875
2024-10-16 11:23:46,38.6875
2024-10-16 11:23:48,38.6875
2024-10-16 11:23:51,38.6875
2024-10-16 11:23:52,38.6875
2024-10-16 11:23:55,38.6875
2024-10-16 11:23:57,38.75
2024-10-16 11:24:00,38.75
2024-10-16 11:24:02,38.75
2024-10-16 11:24:04,38.75
2024-10-16 11:24:07,38.75
2024-10-16 11:24:09,38.8125
2024-10-16 11:24:12,38.8125
2024-10-16 11:24:14,38.8125
2024-10-16 11:24:16,38.8125
2024-10-16 11:24:19,38.8125
2024-10-16 11:24:21,38.8125
2024-10-16 11:24:24,38.8125
2024-10-16 11:24:26,38.8125
2024-10-16 11:24:28,38.875
2024-10-16 11:24:31,38.875
2024-10-16 11:24:33,38.875
2024-10-16 11:24:36,38.875
2024-10-16 11:24:38,38.875
2024-10-16 11:24:41,38.875
2024-10-16 11:24:43,38.875
2024-10-16 11:24:45,38.875
2024-10-16 11:24:48,38.875
2024-10-16 11:24:50,38.9375
2024-10-16 11:24:53,38.875
2024-10-16 11:24:55,38.9375
2024-10-16 11:24:58,38.9375
2024-10-16 11:25:00,38.9375
2024-10-16 11:25:02,38.9375
2024-10-16 11:25:05,38.9375
2024-10-16 11:25:07,38.9375
2024-10-16 11:25:10,39.0
2024-10-16 11:25:12,39.0
2024-10-16 11:25:14,38.9375
2024-10-16 11:25:17,39.0
2024-10-16 11:25:19,39.0
2024-10-16 11:25:22,39.0
2024-10-16 11:25:24,39.0
2024-10-16 11:25:27,39.0
2024-10-16 11:25:29,39.0
2024-10-16 11:25:31,39.0
2024-10-16 11:25:34,39.0
2024-10-16 11:25:36,39.0
2024-10-16 11:25:39,39.0
2024-10-16 11:25:41,39.0
2024-10-16 11:25:44,39.0
2024-10-16 11:25:46,39.0625
2024-10-16 11:25:48,39.0625
2024-10-16 11:25:51,39.0625
2024-10-16 11:25:53,38.9375
2024-10-16 11:25:56,38.4375
2024-10-16 11:25:58,38.0625
2024-10-16 11:26:00,37.75
2024-10-16 11:26:03,37.5
2024-10-16 11:26:05,37.3125
2024-10-16 11:26:08,37.0625
2024-10-16 11:26:10,36.8125
2024-10-16 11:26:13,36.6875
2024-10-16 11:26:15,36.4375
2024-10-16 11:26:17,36.3125
2024-10-16 11:26:20,36.125
2024-10-16 11:26:22,35.9375
2024-10-16 11:26:25,35.75
2024-10-16 11:26:27,35.625
2024-10-16 11:26:29,35.4375
2024-10-16 11:26:32,35.25
2024-10-16 11:26:34,35.0625
2024-10-16 11:26:37,34.9375
2024-10-16 11:26:39,34.75
2024-10-16 11:26:42,34.625
2024-10-16 11:26:44,34.5
2024-10-16 11:26:46,34.3125
2024-10-16 11:26:49,34.1875
2024-10-16 11:26:51,34.0
2024-10-16 11:26:54,33.875
2024-10-16 11:26:56,33.75
2024-10-16 11:26:58,33.6875
2024-10-16 11:27:01,33.5
2024-10-16 11:27:03,33.375
2024-10-16 11:27:06,33.25
2024-10-16 11:27:08,33.0625
2024-10-16 11:27:10,33.0
2024-10-16 11:27:13,32.875
2024-10-16 11:27:15,32.6875
2024-10-16 11:27:18,32.5625
2024-10-16 11:27:20,32.4375
2024-10-16 11:27:23,32.3125
2024-10-16 11:27:25,32.1875
2024-10-16 11:27:27,32.1875
2024-10-16 11:27:30,31.9375
2024-10-16 11:27:32,31.875
2024-10-16 11:27:35,31.6875
2024-10-16 11:27:37,31.5625
2024-10-16 11:27:39,31.5
2024-10-16 11:27:42,31.375
2024-10-16 11:27:44,31.25
2024-10-16 11:27:47,31.125
2024-10-16 11:27:49,31.0625
2024-10-16 11:27:51,31.0
2024-10-16 11:27:54,30.875
2024-10-16 11:27:56,30.75
2024-10-16 11:27:59,30.6875
2024-10-16 11:28:01,30.5625
2024-10-16 11:28:04,30.4375
2024-10-16 11:28:06,30.375
2024-10-16 11:28:08,30.25
2024-10-16 11:28:11,30.125
2024-10-16 11:28:13,30.0625
2024-10-16 11:28:16,29.9375
2024-10-16 11:28:18,29.875
2024-10-16 11:28:20,29.8125
2024-10-16 11:28:23,29.75
2024-10-16 11:28:25,29.625
2024-10-16 11:28:28,29.5625
2024-10-16 11:28:30,29.4375
2024-10-16 11:28:33,29.375
2024-10-16 11:28:35,29.3125
2024-10-16 11:28:37,29.1875
2024-10-16 11:28:40,29.125
2024-10-16 11:28:42,29.0
2024-10-16 11:28:45,28.9375
2024-10-16 11:28:47,28.875
2024-10-16 11:28:49,28.8125
2024-10-16 11:28:52,28.6875
2024-10-16 11:28:54,28.625
2024-10-16 11:28:57,28.5625
2024-10-16 11:28:59,28.5
2024-10-16 11:29:01,28.4375
2024-10-16 11:29:04,28.3125
2024-10-16 11:29:06,28.3125
2024-10-16 11:29:09,28.25
2024-10-16 11:29:11,28.125
2024-10-16 11:29:13,28.0625
2024-10-16 11:29:16,28.0
2024-10-16 11:29:18,27.9375
2024-10-16 11:29:21,27.875
2024-10-16 11:29:23,27.8125
2024-10-16 11:29:26,27.75
2024-10-16 11:29:28,27.6875
2024-10-16 11:29:30,27.625
2024-10-16 11:29:33,27.5625
2024-10-16 11:29:35,27.5
2024-10-16 11:29:38,27.375
2024-10-16 11:29:40,27.375
2024-10-16 11:29:42,27.25
2024-10-16 11:29:45,27.25
2024-10-16 11:29:47,27.1875
2024-10-16 11:29:50,27.125
2024-10-16 11:29:52,27.0625
2024-10-16 11:29:54,27.0
2024-10-16 11:29:57,26.9375
2024-10-16 11:29:59,26.875
2024-10-16 11:30:02,26.875
2024-10-16 11:30:04,26.75
2024-10-16 11:30:07,26.75
2024-10-16 11:30:09,26.6875
2024-10-16 11:30:11,26.625
2024-10-16 11:30:14,26.5625
2024-10-16 11:30:16,26.5
2024-10-16 11:30:19,26.5
2024-10-16 11:30:21,26.4375
2024-10-16 11:30:23,26.375
2024-10-16 11:30:26,26.375
2024-10-16 11:30:28,26.3125
2024-10-16 11:30:31,26.25
2024-10-16 11:30:33,26.1875
2024-10-16 11:30:35,26.1875
2024-10-16 11:30:38,26.125
2024-10-16 11:30:40,26.0625
2024-10-16 11:30:43,26.0
2024-10-16 11:30:45,26.0
2024-10-16 11:30:48,25.9375
2024-10-16 11:30:50,25.875
2024-10-16 11:30:52,25.875
2024-10-16 11:30:55,25.8125
2024-10-16 11:30:57,25.75
2024-10-16 11:31:00,25.75
